kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
jacobi-1d,501,0,0,7992001,501,0,0,1001,501,0,0,1001
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
jacobi-1d,501,0,0,7992001,501,0,0,1001,501,0,0,1001
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
trisolv,251501,1,861,6005002,251501,247,1,252614,251501,216,3,251753
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
durbin,753,227161,195379,13993011,753,0,0,664367,753,0,0,1254
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
gesummv,422989,0,58124,13525200,422989,0,0,481549,422989,0,0,423315
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
bicg,499752,858852,633,31924000,499752,90,0,1789911,499752,292,0,500325
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
atax,499514,1120656,320,27932100,499514,0,0,2120811,499514,263,0,500015
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
mvt,501000,4274941,2681,24004000,501000,500193,8,4779378,501000,495446,17,1001701
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
gemver,502002,5751317,191004,48010011,502002,1000404,18,6986888,502002,990839,52,2002929
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
deriche,2211842,38707200,2,141557770,2211842,5529603,2,60825605,2211842,5526657,88,11059208
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
doitgen,423222,67868786,318076876,1622880004,423222,2,0,387235142,423222,22,0,843246
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
trmm,212876,1033934748,21934038,1800600006,212876,74679134,522,1056247711,212876,59765634,11266,75042533
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
syrk,240601,646315954,10665881,2883841202,240601,89631827,680,737646138,240601,71828638,13013,89960762
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
covariance,390151,2012430148,0,3037084202,390151,126029717,6752,2013840448,390151,113018580,127302,127446320
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
correlation,390303,2012431648,142847,3039729614,390303,126240020,6750,2013985099,390303,113228892,127309,127656927
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
symm,363002,1177963505,37222480,3601200012,363002,149724209,493,1800050091,363002,141711342,98599,225099547
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
syr2k,390602,1438874860,4338967,4325041210,390602,179703768,186,1531742765,390602,170805530,17290,180185012
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
gramschmidt,390602,2880900002,0,5040600012,390602,90170817,29499,3601981206,390602,72086849,535455,181037828
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
gemm,452500,164835000,446079,5282200000,452500,165045199,666,166279471,452500,164993667,2100,165502150
